SITE_NAME_CLEANED,PERIOD_EUR
0189BB,6.1%
0189BR,8.76%
0190BB,146.83%
0190BR,29.65%
0190KO,10.91%
0191BB,0.88%
0191BR,19.11%
0192BR,26.24%
0192KO,7.3%
0193BB,18.27%
0193BR,51.79%
0193KO,17.81%
0194BB,151.1%
0194BR,13.5%
0194KO,70.18%
0195BB,1.22%
0195BR,36.19%
0195KO,32.68%
0196BB,166.2%
0196BR,14.32%
0197BR,11.95%
0197KO,15.57%
0198BB,12.18%
0199BB,12.01%
0199BR,20.4%
0199KO,72.28%
0200BB,1.17%
0200KO,9.58%
0201BR,25.47%
0201KO,11.36%
0202BR,8.9%
0202KO,10.08%
0203BR,11.7%
0203KO,63.95%
0204BB,29.86%
0204BR,5.75%
0204KO,152.15%
0205BR,10.91%
0205KO,9.13%
0206BR,9.01%
0206KO,56.36%
0207BB,7.97%
0207BR,11.11%
0207KO,6.46%
0208BR,nan%
0208KO,6.13%
0209BB,147.83%
0209BR,36.57%
0209KO,8.13%
0210BR,68.53%
0210KO,17.56%
0211BB,10.81%
0211BR,8.41%
0211KO,28.23%
0212BB,148.24%
0212BR,73.82%
0212KO,47.48%
0213BB,10.63%
0213BR,72.94%
0213KO,64.86%
0214BB,18.7%
0214BR,11.57%
0214KO,14.81%
0215BB,4.13%
0215BR,8.19%
0215KO,5.82%
0216BR,47.85%
0216KO,12.12%
0217BB,189.69%
0217BR,62.28%
0217KO,54.78%
0218BB,11.13%
0218BR,7.47%
0218KO,11.16%
0219BB,2.84%
0219BR,12.97%
0219KO,8.9%
0220BB,6.3%
0220BR,9.59%
0220KO,nan%
0221BR,7.75%
0221KO,68.96%
0222BB,7.79%
0222BR,65.2%
0222KO,4.73%
0223BR,42.4%
0223KO,28.2%
0224BB,27.51%
0224BR,38.47%
0224KO,11.12%
0225BB,7.22%
0225BR,42.07%
0225KO,23.21%
0226BB,9.91%
0226BR,53.76%
0226KO,9.98%
0227BB,54.01%
0227BR,38.74%
0227KO,11.54%
0228BB,5.34%
0228BR,15.51%
0228KO,9.52%
0229BB,10.16%
0229BR,66.05%
0229KO,8.47%
0230BB,12.24%
0230KO,10.7%
0231BB,1.35%
0231BR,17.31%
0231KO,43.76%
0232BB,11.38%
0232BR,33.31%
0232KO,8.22%
0233BB,1.12%
0233BR,13.83%
0233KO,4.82%
0234BB,18.47%
0234BR,41.25%
0234KO,9.89%
0235BB,159.19%
0235BR,10.49%
0235KO,8.54%
0236BB,1.63%
0236BR,7.08%
0236KO,18.17%
0237BB,38.36%
0237BR,68.56%
0237KO,46.28%
0238BB,37.4%
0238BR,24.14%
0238KO,13.48%
0239BB,27.1%
0239BR,9.56%
0239KO,13.4%
0240BB,60.97%
0240BR,4.13%
0240KO,60.34%
0241BR,14.13%
0241KO,24.34%
0242BB,13.28%
0242BR,59.43%
0242KO,14.33%
0243BB,74.74%
0243BR,35.64%
0243KO,27.17%
0244BB,0.3%
0244BR,11.57%
0244KO,12.49%
0245BB,13.78%
0245BR,7.62%
0245KO,16.49%
0246BB,6.46%
0246BR,12.5%
0246KO,5.87%
0247BB,28.76%
0247BR,8.64%
0247KO,16.69%
0248BB,127.69%
0248BR,21.43%
0248KO,13.56%
0249BB,14.97%
0249KO,40.31%
0250BB,10.4%
0250BR,75.91%
0250KO,10.81%
0251BB,9.24%
0251BR,73.06%
0251KO,19.72%
0252BB,13.3%
0252BR,9.17%
0252KO,12.42%
0253BB,9.12%
0253BR,13.02%
0253KO,19.67%
0254BB,38.81%
0254BR,16.17%
0254KO,139.14%
0255BB,16.86%
0255BR,48.37%
0255KO,28.21%
0256BB,1.84%
0256BR,92.42%
0256KO,7.63%
0257BB,4.6%
0257KO,19.97%
0258BB,9.97%
0258BR,6.86%
0258KO,21.4%
0259BB,11.56%
0259BR,17.48%
0260BB,148.57%
0260BR,225.4%
0260KO,7.06%
0261BB,0.95%
0261BR,15.16%
0261KO,13.1%
0262BB,143.12%
0262BR,47.31%
0262KO,10.34%
0263BB,9.05%
0263BR,35.04%
0263KO,12.32%
0264BB,10.82%
0264BR,1.16%
0264KO,11.31%
0265BB,12.59%
0265BR,nan%
0265KO,7.32%
0266BB,31.7%
0266BR,9.11%
0266KO,5.95%
0267BB,9.52%
0267BR,0.91%
0267KO,9.91%
0268BB,10.1%
0268BR,91.47%
0268KO,7.6%
0269BB,22.26%
0269BR,44.36%
0269KO,9.3%
0270BB,15.2%
0270BR,8.53%
0270KO,6.67%
0271BB,12.86%
0271BR,24.65%
0271KO,19.98%
0272BB,27.6%
0272BR,120.67%
0272KO,6.88%
0273BB,15.96%
0273BR,15.8%
0273KO,21.12%
0274BB,18.48%
0274BR,11.81%
0274KO,9.8%
0275BB,8.43%
0275BR,10.22%
0275KO,9.63%
0276BB,147.85%
0276BR,49.73%
0276KO,16.7%
0277BB,5.25%
0277BR,16.98%
0277KO,28.88%
0278BB,22.08%
0278BR,8.15%
0278KO,10.06%
0279BB,13.55%
0279BR,7.52%
0279KO,7.15%
0280BB,35.92%
0280BR,106.92%
0280KO,8.22%
0281BB,150.75%
0281BR,12.09%
0281KO,13.2%
0282BB,99.42%
0282BR,1.93%
0282KO,54.38%
0283BB,16.79%
0283BR,30.79%
0283KO,5.67%
0284BB,5.44%
0284BR,22.88%
0284KO,21.14%
0285BB,13.59%
0285BR,42.5%
0285KO,11.07%
0286BB,15.09%
0286BR,46.49%
0286KO,27.57%
0287BB,12.3%
0287BR,61.66%
0287KO,19.75%
0288BB,6.24%
0288BR,20.46%
0288KO,6.92%
0289BB,157.76%
0289BR,11.75%
0289KO,9.06%
0290BB,5.4%
0290BR,12.21%
0290KO,146.64%
0291BB,12.24%
0291KO,8.58%
0292BB,0.69%
0292BR,57.7%
0292KO,10.52%
0293BB,40.27%
0293BR,53.39%
0293KO,12.86%
0294BB,14.25%
0294BR,12.95%
0294KO,29.82%
0295BB,102.77%
0295BR,10.33%
0295KO,16.75%
0296BB,133.11%
0296BR,5.17%
0296KO,6.98%
0297BB,10.7%
0297BR,70.65%
0297KO,16.94%
0298BB,35.74%
0298BR,17.19%
0298KO,11.27%
0299BB,6.57%
0299BR,6.48%
0299KO,10.45%
0300BB,14.92%
0300BR,7.04%
0300KO,16.61%
0301BB,154.32%
0301BR,41.65%
0301KO,10.21%
0302BB,18.6%
0302BR,40.49%
0303BB,16.89%
0303BR,18.92%
0303KO,5.99%
0304BB,141.13%
0304BR,13.12%
0304KO,61.59%
0305BB,12.56%
0305KO,21.73%
0306KO,6.0%
0307BR,42.46%
0307KO,61.9%
0308BB,6.17%
0308BR,73.11%
0308KO,35.08%
0309BB,10.11%
0309BR,7.54%
0309KO,8.97%
0310BB,12.0%
0310BR,45.1%
0310KO,56.54%
0311BB,11.76%
0311BR,41.01%
0311KO,12.1%
0312BB,162.23%
0312BR,54.79%
0312KO,7.2%
0313BB,7.04%
0313BR,78.65%
0313KO,31.29%
0314BB,12.03%
0314BR,9.17%
0314KO,15.78%
0315BB,13.59%
0315BR,35.61%
0315KO,25.03%
0316BB,157.11%
0316BR,13.36%
0316KO,20.06%
0317BB,132.58%
0317BR,38.66%
0317KO,23.2%
0318BB,34.57%
0318BR,18.26%
0318KO,27.46%
0319BB,15.97%
0319BR,14.32%
0319KO,16.64%
0320BB,0.4%
0320BR,8.92%
0320KO,7.32%
0321BB,157.83%
0321BR,41.15%
0321KO,7.26%
0322BB,11.09%
0322BR,68.92%
0322KO,64.7%
0323BB,162.73%
0323BR,29.32%
0323KO,5.22%
0324BB,8.94%
0324BR,35.43%
0324KO,114.45%
0325BB,104.84%
0325BR,34.67%
0325KO,6.44%
0326BB,0.94%
0326BR,7.16%
0326KO,8.6%
0327BB,1.61%
0327BR,0.27%
0327KO,22.91%
0328BB,5.74%
0328BR,46.12%
0328KO,12.97%
0329BB,79.63%
0329BR,6.51%
0329KO,6.31%
0330BB,32.76%
0330BR,54.05%
0330KO,5.48%
0331BB,6.71%
0331BR,16.87%
0331KO,9.36%
0332BB,18.54%
0332BR,31.31%
0332KO,19.43%
0333BB,19.49%
0333BR,14.79%
0333KO,14.61%
0334BR,64.88%
0334KO,24.9%
0335BB,15.49%
0335BR,14.65%
0335KO,10.79%
0336BB,19.91%
0336BR,10.71%
0336KO,6.29%
0337BB,14.96%
0337BR,9.77%
0337KO,11.74%
0338BB,11.35%
0338BR,10.36%
0338KO,5.07%
0339BB,157.05%
0339BR,43.37%
0339KO,8.15%
0340BB,141.51%
0340KO,13.9%
0341BB,161.72%
0341BR,60.71%
0341KO,39.54%
0342BB,26.26%
0342BR,46.87%
0342KO,7.87%
0343BB,161.34%
0343BR,19.18%
0343KO,14.16%
0344BB,10.13%
0344BR,13.33%
0344KO,13.68%
0345BB,43.74%
0345BR,14.88%
0345KO,12.92%
0346BB,22.72%
0346BR,0.72%
0346KO,12.31%
0347BB,11.17%
0347BR,14.12%
0347KO,6.31%
0348BB,3.84%
0348BR,9.07%
0348KO,8.4%
0349BB,20.09%
0349BR,3.27%
0349KO,7.33%
0350BB,15.78%
0350BR,12.65%
0350KO,14.74%
0351BB,6.8%
0351BR,9.55%
0351KO,15.64%
0352BB,12.79%
0352BR,8.88%
0352KO,6.24%
0353BB,17.64%
0353BR,13.85%
0353KO,5.83%
0354BR,149.9%
0354KO,26.07%
0355BB,11.91%
0355BR,4.01%
0355KO,6.58%
0356BB,18.54%
0356BR,7.96%
0356KO,44.33%
0357BB,16.96%
0357BR,54.34%
0357KO,9.44%
0358BB,2.64%
0358BR,7.29%
0358KO,11.43%
0359BB,23.56%
0359BR,42.42%
0359KO,9.06%
0360BB,154.9%
0360BR,9.65%
0360KO,10.37%
0361BB,14.44%
0361BR,3.67%
0361KO,11.43%
0362BB,11.44%
0362BR,0.45%
0362KO,4.85%
0363BB,66.9%
0363BR,42.22%
0363KO,10.27%
0364BB,9.31%
0364BR,59.71%
0364KO,62.92%
0365BB,18.51%
0365BR,28.49%
0365KO,18.71%
0366BB,138.35%
0366BR,69.03%
0366KO,23.83%
0367BB,0.77%
0367BR,9.63%
0367KO,7.59%
0368BB,24.32%
0368BR,9.76%
0368KO,6.6%
0369BB,52.33%
0369BR,9.02%
0369KO,6.35%
0370BB,147.87%
0370BR,17.0%
0370KO,6.29%
0371BB,19.3%
0371BR,16.05%
0371KO,9.58%
0372BB,136.49%
0372BR,31.6%
0372KO,141.95%
0373BB,11.63%
0373BR,41.74%
0373KO,8.48%
0374BB,1.37%
0374BR,29.05%
0374KO,23.64%
0375BB,13.53%
0375BR,12.57%
0375KO,8.63%
0376BB,15.06%
0376BR,67.08%
0376KO,10.29%
0377BB,9.22%
0377BR,60.28%
0377KO,6.29%
0378BB,115.03%
0378BR,15.16%
0378KO,16.57%
0379BB,12.34%
0379BR,44.52%
0379KO,9.44%
0380BB,1.45%
0380BR,15.46%
0380KO,60.48%
0381BB,0.98%
0381BR,88.61%
0381KO,6.61%
0382BB,14.76%
0382BR,10.1%
0382KO,51.5%
0383BB,148.12%
0383BR,14.01%
0383KO,11.83%
0384BB,148.63%
0384BR,18.42%
0384KO,10.32%
0385BB,9.52%
0385BR,67.42%
0385KO,17.19%
0386BB,15.87%
0386BR,64.65%
0386KO,64.6%
0387KO,8.16%
0388BB,1.01%
0388BR,65.09%
0388KO,10.76%
0389BB,9.07%
0389BR,5.85%
0389KO,6.03%
0390BB,7.44%
0390BR,58.58%
0390KO,11.59%
0391BB,145.59%
0391BR,22.97%
0391KO,22.68%
0392BB,11.1%
0392BR,80.33%
0392KO,12.76%
0393BB,14.24%
0393BR,49.66%
0393KO,19.62%
0394BB,46.67%
0394BR,9.07%
0394KO,16.01%
0395BB,8.73%
